Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022-09-13,144,NMBPO,23.72,134.0,134.0,134.0,134.0,134.00,"2,000.00",134.00,"268,000.00",1,0.0,0.0,0.0,0.0,0.0,245.00,134.00
2023-01-19,149,NMBPO,42.75,134.0,134.0,134.0,134.0,134.00,"35,000.00",134.00,"4,690,000.00",1,0.0,0.0,0.0,0.0,0.0,160.00,134.00
2023-01-29,159,NMBPO,44.59,134.0,134.0,134.0,134.0,180.00,"9,761.00",134.00,"1,756,980.00",1,0.0,0.0,0.0,0.0,-34.33,160.00,134.00
2023-03-20,155,NMBPO,35.56,131.4,131.4,131.4,131.4,131.40,"63,500.00",134.00,"8,343,900.00",1,-2.6,0.0,-1.94,0.0,0.0,160.00,131.40
2023-04-20,158,NMBPO,39.09,131.4,131.4,131.4,131.4,180.00,"15,401.00",131.40,"2,772,180.00",1,0.0,0.00,0.0,0.0,-36.99,160.00,131.40
2023-04-23,157,NMBPO,43.09,131.4,131.4,131.4,131.4,131.40,"52,305.00",131.40,"6,872,877.00",1,0.0,0.0,0.0,0.0,0.0,160.00,131.40
2023-04-25,154,NMBPO,43.2,131.4,131.4,131.4,131.4,180.00,"52,305.00",131.40,"9,414,900.00",1,0.0,0.0,0.0,0.0,-36.99,160.00,131.40
2023-05-04,167,NMBPO,44.19,131.4,131.4,131.4,131.4,131.40,"63,462.00",131.40,"8,338,906.80",1,0.0,0.0,0.0,0.0,0.0,160.00,131.40
2023-06-15,165,NMBPO,47.78,131.4,131.4,131.4,131.4,131.40,"3,962.00",131.40,"520,606.80",1,0.0,0.00,0.0,0.0,0.0,134.00,131.40
2023-08-03,160,NMBPO,52.97,128.0,128.0,128.0,128.0,128.00,"90,000.00",131.40,"11,520,000.00",1,-3.4,0.0,-2.59,0.0,0.0,134.00,128.00
2023-10-18,176,NMBPO,41.94,115.0,115.0,115.0,115.0,115.00,"30,000.00",115.00,"3,450,000.00",1,0.0,0.0,0.0,0.0,0.0,134.00,115.00
2024-01-07,188,NMBPO,51.08,113.0,113.0,113.0,113.0,113.00,"45,000.00",115.00,"5,085,000.00",1,-2.0,0.0,-1.74,0.0,0.0,134.00,113.00
2024-01-24,191,NMBPO,48.6,113.0,113.0,113.0,113.0,113.00,"23,005.00",113.00,"2,599,565.00",1,0.0,0.0,0.0,0.0,0.0,134.00,113.00
2024-03-28,192,NMBPO,51.84,113.0,113.0,113.0,113.0,113.00,"90,000.00",113.00,"10,170,000.00",1,0.0,0.0,0.0,0.0,0.0,131.40,113.00
2024-04-29,192,NMBPO,50.62,120.0,120.0,120.0,120.0,120.00,"52,172.00",113.00,"6,260,640.00",5,7.0,0.0,6.19,0.0,0.0,131.40,113.00
2024-05-19,197,NMBPO,53.25,120.0,120.0,120.0,120.0,120.00,"10,732.00",120.00,"1,287,840.00",1,0.0,0.0,0.0,0.0,0.0,131.40,113.00
2024-06-03,192,NMBPO,54.63,113.0,113.0,113.0,113.0,113.00,"36,949.00",113.00,"4,175,237.00",10,0.00,0.00,0.0,0.0,0.0,131.40,113.00
